,project_Name,category_name,funding_period_start,funding_period_end,no_days,starter_location,currency,money_pledged,goal,no_backers
1361,Decentralized Dance Party- WASHINGTON EDITION!,Public Art,Dec 12 2011,Feb 10 2012,60,"Washington, DC",$,1025,1000,37
1362,Sommerkampf Art Project Space,Public Art,Apr 10 2011,May 24 2011,43,"Piermont, NY",$,3287,3000,34
1363,Group Dynamics and Improper Light: new work by Gina Osterloh,Mixed Media,Oct 10 2011,Nov 9 2011,30,"Los Angeles, CA",$,8458,8000,97
1364,Princess Dies Residency at Wonder Valley Land Art Project,Performance Art,Jan 12 2012,Feb 11 2012,30,"Twentynine Palms, CA",$,5631,5000,86
1365,Bread & Circuses,Sculpture,Oct 31 2011,Nov 21 2011,21,"Philadelphia, PA",$,2847,2300,60
1366,A Moveable Feast,Sculpture,Jan 3 2012,Mar 3 2012,59,"Los Angeles, CA",$,5088,2000,80
1367,"Hot Rod Illustration #101, Drawing AUTOS WITH MOTIVE!",Illustration,Mar 28 2012,Apr 27 2012,30,"Sharon, VT",$,9284,9000,105
1368,"Terra Diddle Collective, Community Transformational Theater",Performance Art,Nov 12 2011,Dec 11 2011,29,"Rockport, ME",$,6087,6000,32
1369,The Octagon Gallery,Art,Jan 10 2012,Feb 14 2012,34,"Chicago, IL",$,1035,1000,31
1370,Beyond the Frame,Art,Jul 22 2012,Aug 21 2012,30,"Washington, DC",$,3772,3000,99
1371,Mani Temple,Public Art,Jul 26 2012,Aug 20 2012,25,"Black Rock City, NV",$,4501,4500,73
1372,L.Huey Design: Bringing my Custom Jewelry to the World,Mixed Media,Nov 6 2012,Nov 18 2012,12,"Brooklyn, NY",$,5205,4500,57
1373,Art Prints for the OC Mart Mix Art Walk!,Illustration,Jul 5 2012,Jul 9 2012,4,"Costa Mesa, CA",$,620,550,17
1374,Street Arts As Public Pedagogy: Learning From The Margins,Art,Feb 27 2013,Mar 29 2013,30,"Evanston, IL",$,2078,2000,34
1375,Beyond Borders: Linking Our Stories,Performance Art,Sep 20 2012,Nov 11 2012,51,"Ayasoluk, Turkey",$,6776,6500,131
